key,state,year,confined_population,adult_male,pct_adult_male,adult_female,pct_adult_female,juvenile_male,pct_juvenile_male,juvenile_female,pct_juvenile_female,white_population,pct_white,black_population,pct_black,hispanic_population,pct_hispanic,native_american_population,pct_native_american,asian_population,pct_asian,native_hawaiian_pacific_islander_population,pct_native_hawaiian_pacific_islander,two_or_more_race_population,pct_two_or_more_races,other_population,pct_other
Massachusetts - 2010,Massachusetts,2010,12439,11899,0.9565881501728435,493,0.03963341104590401,46,0.003698046466757778,1,8.03923144947343e-05,4209,0.3383712517083367,2712,0.21802395690971943,2727,0.21922984162714043,10,0.000803923144947343,109,0.00876276227992604,4,0.0003215692579789372,2,0.0001607846289894686,255,0.020500040196157247
Massachusetts - 2011,Massachusetts,2011,11566,11035,0.9540895728860453,476,0.04115510980459969,55,0.004755317309355006,0,0.0,5053,0.43688397025765174,2852,0.24658481756873596,2979,0.2575652775376102,11,0.0009510634618710012,147,0.012709666263185197,4,0.0003458412588621823,113,0.009770015562856648,340,0.029396507003285492
Massachusetts - 2012,Massachusetts,2012,10117,9265,0.9157853118513394,523,0.05169516655134922,40,0.003953741227636651,1,9.884353069091628e-05,3755,0.37115745774439063,2052,0.2028269249777602,2284,0.22575862409805278,4,0.0003953741227636651,78,0.00770979539389147,0,0.0,1,9.884353069091628e-05,210,0.020757141445092418
Massachusetts - 2013,Massachusetts,2013,10699,9017,0.8427890457052061,471,0.04402280586970745,31,0.002897467052995607,0,0.0,4118,0.3848957846527713,2242,0.2095522946069726,2681,0.2505841667445556,3,0.00028040003738667165,96,0.008972801196373493,0,0.0,512,0.04785493971399196,149,0.013926535190204693
Massachusetts - 2014,Massachusetts,2014,9060,8603,0.9495584988962472,457,0.050441501103752756,0,0.0,0,0.0,3767,0.41578366445916115,2040,0.2251655629139073,2084,0.23002207505518762,12,0.0013245033112582781,69,0.0076158940397350995,4,0.0004415011037527594,0,0.0,153,0.016887417218543047
Massachusetts - 2015,Massachusetts,2015,10337,9764,0.944568056496082,572,0.05533520363741898,1,9.673986649898423e-05,0,0.0,4369,0.4226564767340621,1834,0.17742091515913708,2494,0.24126922704846668,11,0.0010641385314888265,57,0.005514172390442101,8,0.0007739189319918738,131,0.012672922511366935,26,0.00251523652897359
Massachusetts - 2016,Massachusetts,2016,8947,8456,0.9451212696993405,491,0.05487873030065944,0,0.0,0,0.0,3649,0.40784620543198835,1961,0.2191796132781938,2399,0.26813457024701015,10,0.0011176930814798256,97,0.010841622890354308,1,0.00011176930814798256,352,0.039342796468089865,1,0.00011176930814798256
Massachusetts - 2017,Massachusetts,2017,7629,7164,0.9390483680692095,465,0.0609516319307904,0,0.0,0,0.0,3051,0.3999213527329925,1856,0.24328221260977848,2294,0.3006947175252327,7,0.0009175514484205007,55,0.00720933280901822,42,0.005505308690523005,4,0.0005243151133831433,7,0.0009175514484205007
Massachusetts - 2018,Massachusetts,2018,6353,5940,0.9349913426727531,413,0.06500865732724696,0,0.0,0,0.0,2348,0.36958917047064377,1653,0.2601920352589328,2101,0.33070990083425156,6,0.0009444356996694475,62,0.009759168896584292,0,0.0,11,0.001731465449393987,9,0.0014166535495041713
Michigan - 2008,Michigan,2008,11628,10000,0.8599931200550396,1395,0.11996904024767802,204,0.017543859649122806,28,0.002407980736154111,5404,0.46474028207774337,5568,0.478844169246646,497,0.042741658066735466,20,0.0017199862401100791,53,0.00455796353629171,0,0.0,1,8.599931200550395e-05,6,0.0005159958720330237
Michigan - 2009,Michigan,2009,11271,9739,0.8640759471209298,1339,0.11880046136101499,179,0.015881465708455327,14,0.001242125809599858,5008,0.4443261467482921,5113,0.453642090320291,331,0.029367403069825215,16,0.001419572353828409,22,0.0019519119865140627,0,0.0,0,0.0,4,0.00035489308845710227
Michigan - 2010,Michigan,2010,10338,7681,0.7429870381118204,1262,0.1220739021087251,1386,0.13406848520023215,9,0.0008705745792222867,4158,0.4022054556006965,3052,0.2952215128651577,368,0.03559682723931128,18,0.0017411491584445734,27,0.00261172373766686,0,0.0,0,0.0,0,0.0
Michigan - 2011,Michigan,2011,10307,8327,0.807897545357524,1218,0.11817211603764433,149,0.014456194819055012,12,0.0011642573008634907,4513,0.4378577665664112,4627,0.4489182109246143,406,0.03939070534588144,11,0.0010672358591248667,31,0.003007664693897351,0,0.0,7,0.0006791500921703696,7,0.0006791500921703696
